,Scrapedate,ranking,Country_Other,Total_Case,New_Cases,Total_Death,New_Deaths,Total_Recovered,New_Recovered,Active_cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Tests_1m_pop,Population
0,2021-03-24,,"

",721,,15.0,,706.0,,0.0,0.0,,,,,
1,2021-03-24,,"
Africa
",4168936,10961.0,111074.0,329.0,3725951.0,8697.0,331911.0,2742.0,,,,,
2,2021-03-24,,"
Asia
",27367776,145539.0,419697.0,1129.0,25356774.0,91600.0,1591305.0,24193.0,,,,,
3,2021-03-24,,"
Oceania
",54948,381.0,1120.0,3.0,34482.0,7.0,19346.0,7.0,,,,,
4,2021-03-24,,"
South America
",20352376,131205.0,526837.0,2823.0,18169578.0,117650.0,1655961.0,19872.0,,,,,
349,2021-03-25,119.0,Madagascar,23230,190.0,378.0,9.0,21461.0,89.0,1391.0,23.0,824.0,13.0,138616.0,4914.0,28208425.0
350,2021-03-25,112.0,Malawi,33415,28.0,1112.0,4.0,29417.0,157.0,2886.0,27.0,1715.0,57.0,215854.0,11076.0,19489214.0
351,2021-03-25,45.0,Malaysia,339443,1275.0,1249.0,1.0,323925.0,1509.0,14269.0,161.0,10390.0,38.0,7372592.0,225674.0,32669226.0
352,2021-03-25,118.0,Maldives,23237,146.0,66.0,,20529.0,90.0,2642.0,103.0,42443.0,121.0,630904.0,1152357.0,547490.0
353,2021-03-25,143.0,Mali,9719,72.0,376.0,1.0,6751.0,33.0,2592.0,,470.0,18.0,159785.0,7729.0,20674141.0
354,2021-03-25,115.0,Malta,28715,103.0,382.0,4.0,26480.0,332.0,1853.0,,64906.0,863.0,797899.0,1803541.0,442407.0
355,2021-03-25,218.0,Marshall Islands,4,,,,4.0,,0.0,,67.0,,,,59483.0
356,2021-03-25,150.0,Martinique,7710,,49.0,,98.0,,7563.0,5.0,20557.0,131.0,118816.0,316800.0,375051.0
357,2021-03-25,127.0,Mauritania,17745,33.0,448.0,1.0,16976.0,14.0,321.0,14.0,3745.0,95.0,199421.0,42086.0,4738463.0
358,2021-03-25,191.0,Mauritius,871,18.0,10.0,,592.0,,269.0,,684.0,8.0,289552.0,227400.0,1273318.0
359,2021-03-25,123.0,Mayotte,19306,,154.0,,2964.0,,16188.0,16.0,69545.0,555.0,151773.0,546727.0,277603.0
360,2021-03-25,13.0,Mexico,2214542,5787.0,200211.0,584.0,1752125.0,3808.0,262206.0,4798.0,17045.0,1541.0,5983144.0,46051.0,129924289.0
361,2021-03-25,221.0,Micronesia,1,,,,1.0,,0.0,,9.0,,,,115906.0
362,2021-03-25,62.0,Moldova,223986,1866.0,4745.0,43.0,197623.0,2065.0,21618.0,352.0,55620.0,1178.0,829796.0,206055.0,4027065.0
363,2021-03-25,179.0,Monaco,2248,21.0,28.0,,2052.0,5.0,168.0,9.0,56989.0,710.0,51953.0,1317066.0,39446.0
364,2021-03-25,156.0,Mongolia,6332,437.0,5.0,,4150.0,106.0,2177.0,15.0,1909.0,2.0,2174336.0,655545.0,3316836.0
365,2021-03-25,92.0,Montenegro,89363,372.0,1234.0,4.0,80835.0,592.0,7294.0,69.0,142270.0,1965.0,330552.0,526253.0,628124.0
366,2021-03-25,214.0,Montserrat,20,,1.0,,19.0,,0.0,,4005.0,200.0,1093.0,218863.0,4994.0
367,2021-03-25,38.0,Morocco,493867,514.0,8793.0,5.0,481597.0,523.0,3477.0,267.0,13265.0,236.0,5917273.0,158936.0,37230602.0
368,2021-03-25,98.0,Mozambique,66879,117.0,758.0,5.0,55074.0,979.0,11047.0,,2097.0,24.0,472501.0,14816.0,31891180.0
369,2021-03-25,217.0,MS Zaandam,9,,2.0,,7.0,,0.0,,,,,,
370,2021-03-25,78.0,Myanmar,142340,25.0,3205.0,1.0,131781.0,7.0,7354.0,,2603.0,59.0,2530422.0,46279.0,54677220.0
371,2021-03-25,105.0,Namibia,43179,169.0,504.0,2.0,41153.0,269.0,1522.0,35.0,16772.0,196.0,339579.0,131902.0,2574471.0
372,2021-03-25,50.0,Nepal,276665,156.0,3024.0,4.0,272342.0,70.0,1299.0,,9372.0,102.0,2256300.0,76435.0,29519102.0
373,2021-03-25,21.0,Netherlands,1236209,7562.0,16421.0,24.0,,,,625.0,72029.0,957.0,9747836.0,567966.0,17162719.0
374,2021-03-25,204.0,New Caledonia,121,1.0,,,58.0,,63.0,,421.0,,27618.0,96060.0,287508.0
